time,weight,,,,
0,-1.9,,,,
0.011839,-1.9,,,,
3.63579,-1.9,,,,
0,-1,,,,
3.256121,-1.1,,,,
3.260109,-1,,,,
3.265101,-1.1,,,,
3.270084,-1.1,,,,
3.275072,-1.1,,,,
3.280057,-1.1,,,,
3.286562,-1,,,,
3.291551,-1,,,,
3.29554,-1,,,,
3.300571,-1,,,,
3.305929,-1,,,,
3.310155,-1,,,,
3.315955,-1,,,,
3.322556,-1.1,,,,
3.325778,-1.1,,,,
3.330537,-1.1,,,,
3.33687,-1.1,,,,
3.34007,-1.1,,,,
3.345081,-1.1,,,,
3.351603,-1.1,,,,
3.356378,-1.1,,,,
3.360641,-1.1,,,,
3.366343,-1.1,,,,
3.370554,-1.1,,,,
3.375695,-1.1,,,,
3.380458,-1.1,,,,
3.38619,-1.1,,,,
3.390414,-1.1,,,,
3.395891,-1.1,,,,
3.401091,-1.1,,,,
3.405084,-1.1,,,,
3.410339,-1.1,,,,
3.44333,-1.1,,,,
3.539191,-1.1,,,,
3.651354,-1.1,,,,
3.763542,-1,,,,
3.859193,-1,,,,
3.971656,-1,,,,
4.067739,-1,,,,
4.179749,-1,,,,
4.275874,-1,,,,
4.387897,-1,,,,
4.483937,-1,,,,
4.595718,-1,,,,
4.692209,-0.9,,,,
4.802912,-0.9,,,,
4.900082,-0.9,,,,
5.012324,-0.9,,,,
5.108863,-0.9,,,,
5.220417,-1,,,,
5.316785,-1,,,,
5.428861,-1,,,,
5.524545,-1,,,,
5.636851,-1,,,,
5.732742,-1,,,,
5.844521,-1,,,,
5.94086,-1,,,,
6.053102,-1,,,,
6.148929,-1,,,,
6.260752,-1,,,,
6.357215,-1,,,,
6.469183,-1,,,,
6.565151,-1,,,,
6.676615,-1,,,,
6.789199,-1,,,,
6.885559,-1,,,,
6.997669,-1,,,,
7.093349,-1,,,,
7.205613,-1,,,,
7.301862,-1,,,,
7.413397,-0.9,,,,
7.509182,-0.9,,,,
7.622077,-0.9,,,,
7.718064,-0.9,,,,
7.829885,-0.9,,,,
7.926178,-0.9,,,,
8.03887,-0.9,,,,
8.134273,-0.9,,,,
8.245731,-0.9,,,,
8.342699,-0.9,,,,
8.454674,-0.9,,,,
8.550614,-0.9,,,,
8.662877,-0.9,,,,
8.758859,-0.9,,,,
8.870201,-0.9,,,,
8.966914,-0.9,,,,
9.078688,-0.9,,,,
9.174918,-0.9,,,,
9.286318,-0.9,,,,
9.382658,-0.9,,,,
9.495281,-0.9,,,,
9.591386,-0.9,,,,
9.703379,-0.9,,,,
9.799449,-1,,,,
9.911326,-1,,,,
10.007178,-1,,,,
10.118978,-1,,,,
10.215865,-1,,,,
10.327758,-1,,,,
10.424244,-1,,,,
10.535998,-1,,,,
10.632163,-1,,,,
10.743864,-0.9,,,,
10.839388,-0.9,,,,
10.952115,-0.9,,,,
11.048262,-0.9,,,,
11.160283,-0.9,,,,
11.256423,-0.9,,,,
11.368252,-0.9,,,,
11.463651,-0.9,,,,
11.576744,-0.9,,,,
11.672667,-0.9,,,,
11.784106,-0.9,,,,
11.896042,-0.9,,,,
11.99262,-0.9,,,,
12.104763,-0.9,,,,
12.201194,-0.9,,,,
12.313239,-0.9,,,,
12.408841,-0.9,,,,
12.521179,-0.9,,,,
12.617451,-0.9,,,,
12.729175,-0.9,,,,
12.825571,-0.9,,,,
12.937369,-0.9,,,,
13.033594,-0.9,,,,
13.145598,-1,,,,
13.241545,-1,,,,
13.353678,-1,,,,
13.449793,-1,,,,
13.561678,-1,,,,
13.657926,-1,,,,
13.770193,-1,,,,
13.866212,-1,,,,
13.978128,-1,,,,
14.074348,-1,,,,
14.186446,-1,,,,
14.282362,-1,,,,
14.394103,-0.9,,,,
14.490329,-0.9,,,,
14.602723,-1,,,,
14.698866,-1,,,,
14.810407,-1,,,,
14.906776,-1,,,,
15.018942,-1,,,,
15.114634,-1,,,,
15.227113,-0.9,,,,
15.323182,-0.9,,,,
15.435066,-0.9,,,,
15.531078,-0.9,,,,
15.643342,-0.9,,,,
15.738938,-0.9,,,,
15.851697,-0.9,,,,
15.947485,-0.9,,,,
16.05918,-0.9,,,,
16.155577,-0.9,,,,
16.267745,-0.9,,,,
16.363139,-0.9,,,,
16.476014,-0.9,,,,
16.571981,-0.9,,,,
16.684244,-0.9,,,,
16.79534,-0.9,,,,
16.907423,-0.9,,,,
17.004243,-0.9,,,,
17.116338,-0.9,,,,
17.212083,-0.9,,,,
17.308433,-0.9,,,,
17.419497,-0.9,,,,
17.516095,-0.9,,,,
17.628339,-0.9,,,,
17.724558,-0.9,,,,
17.836782,-0.9,,,,
17.948861,-0.9,,,,
18.044463,-0.9,,,,
18.140734,-0.9,,,,
18.253179,-0.9,,,,
18.349271,-0.9,,,,
18.460986,-0.9,,,,
18.557314,-0.9,,,,
18.669164,-0.9,,,,
18.765532,-0.9,,,,
18.877133,-0.8,,,,
18.973461,-0.8,,,,
19.085707,-0.8,,,,
19.18142,-0.8,,,,
19.293348,-0.9,,,,
19.389247,-0.9,,,,
19.501956,-0.9,,,,
19.59794,-0.9,,,,
19.710204,-0.9,,,,
19.806123,-0.9,,,,
19.918107,-0.9,,,,
20.030157,-0.9,,,,
20.126334,-0.9,,,,
20.238379,-0.9,,,,
20.334507,-0.9,,,,
20.446063,-0.9,,,,
20.542511,-0.9,,,,
20.654493,-0.9,,,,
20.750396,-0.9,,,,
20.862683,-0.9,,,,
20.958169,-0.9,,,,
